dataset,train_steps,n_simulations,score_mean,score_type
german,700,17,"[2.52857968e-05 6.57036892e-07 2.23911600e-06 2.19775778e-07
 7.94607435e-08 1.46257267e-09 3.00149973e-09]",r2
german,700,18,"[3.04811753e-05 7.38547866e-07 3.45172010e-07 3.89821733e-08
 1.00596717e-07 3.26202782e-09 4.63182184e-09]",r2
german,700,19,"[4.04701603e-05 7.09468351e-07 6.06368878e-06 3.95763239e-07
 1.54056459e-07 4.20966179e-09 8.97541240e-09]",r2
german,700,20,"[4.08175888e-05 6.07038621e-07 1.41950394e-06 2.19368227e-08
 1.53908436e-07 2.99568586e-09 5.94572689e-09]",r2
german,800,1,"[6.52619873e-04 1.19442921e-04 4.93805808e-04 3.83532757e-05
 5.48184423e-06 5.85246096e-08 9.48812340e-08]",r2
german,800,2,"[3.21625059e-04 6.50585903e-06 5.64233603e-04 7.43254494e-05
 5.91063282e-07 1.37721010e-08 2.63045754e-08]",r2
german,800,3,"[3.75246822e-05 1.03127846e-06 4.77119134e-05 2.98715698e-06
 2.22230418e-07 1.47756702e-08 2.57148769e-08]",r2
german,800,4,"[7.88247821e-06 3.49439098e-06 1.73055835e-05 2.39036652e-06
 1.06434071e-06 5.57833348e-08 1.09606602e-07]",r2
german,800,5,"[3.76706901e-05 1.35456044e-05 1.71179893e-05 1.19360243e-06
 2.54389894e-06 1.48805190e-07 2.35563953e-07]",r2
german,800,6,"[1.52759219e-05 3.96489127e-06 6.92169653e-06 1.28208026e-06
 1.39827166e-06 7.61097650e-08 1.01724084e-07]",r2
german,800,7,"[1.17314405e-05 2.74262079e-06 1.92887206e-06 4.78433681e-07
 7.97518951e-07 2.09891452e-08 3.64865897e-08]",r2
german,800,8,"[2.17555866e-06 1.81559635e-07 2.20017629e-05 2.88570558e-06
 2.45056039e-07 9.63888509e-09 2.25331414e-08]",r2
german,800,9,"[5.60268853e-07 7.50366570e-07 1.66110309e-06 3.87726424e-08
 1.45066642e-08 1.63479576e-09 2.53823831e-09]",r2
german,800,10,"[3.52401852e-06 1.80571777e-06 1.11542914e-06 6.83716170e-08
 1.15881135e-08 2.90319502e-09 7.04053257e-09]",r2
german,800,11,"[2.27481276e-05 7.19984317e-07 6.67805717e-06 1.63353850e-07
 2.66641045e-07 7.47652962e-09 1.14557139e-08]",r2
german,800,12,"[1.73578595e-05 6.79722995e-07 5.47384384e-06 5.58659901e-07
 1.57782392e-07 2.84539431e-09 7.25839709e-09]",r2
german,800,13,"[2.60596314e-05 7.58129313e-07 6.73515408e-06 1.25150941e-06
 1.78575455e-07 4.69414099e-09 1.39673668e-08]",r2
german,800,14,"[2.56020174e-05 5.54416937e-07 4.88869334e-06 9.27129739e-07
 1.06789499e-07 3.38062572e-09 9.16865524e-09]",r2
german,800,15,"[1.52570102e-05 5.95748109e-07 6.55435721e-06 9.30859129e-07
 4.49283102e-08 1.23030857e-09 2.80610174e-09]",r2
german,800,16,"[2.20310400e-05 6.18946435e-07 4.22670702e-06 2.86069815e-07
 9.09638116e-08 3.50829494e-09 6.51623257e-09]",r2
german,800,17,"[1.84482518e-05 4.96058510e-07 1.03940734e-05 9.48466991e-07
 7.26048067e-08 4.26152899e-09 7.95725301e-09]",r2
german,800,18,"[2.03211951e-05 3.65305271e-07 1.04882444e-05 1.12283376e-06
 9.89571482e-08 2.56124264e-09 7.90274930e-09]",r2
german,800,19,"[1.20845518e-05 3.24026553e-07 1.08008998e-05 1.66470106e-06
 1.16444163e-07 5.45626350e-09 1.58182441e-08]",r2
german,800,20,"[1.75149563e-05 3.53322407e-07 1.26680964e-05 1.81545490e-06
 1.78380721e-07 9.14380520e-09 2.32218205e-08]",r2
german,900,1,"[4.16210582e-04 6.37203935e-05 9.59657176e-05 2.25210072e-06
 3.43012476e-06 7.12316153e-08 1.02747700e-07]",r2
german,900,2,"[1.85982988e-05 8.37906374e-08 1.48665962e-04 8.69395032e-06
 3.55328244e-07 9.85265115e-08 1.08744193e-07]",r2
german,900,3,"[4.65534601e-07 3.18016806e-06 1.47018707e-05 3.91087927e-07
 8.80775318e-07 7.67362662e-08 8.36154694e-08]",r2
german,900,4,"[3.99626825e-05 8.91750324e-06 1.20299451e-06 2.35320707e-07
 2.17497003e-06 1.59530092e-07 2.38835723e-07]",r2
german,900,5,"[1.05390099e-05 8.82688331e-06 1.12992022e-06 5.54563978e-08
 1.42498222e-06 7.84714968e-08 1.21743147e-07]",r2
german,900,6,"[3.16023872e-05 3.77083074e-06 4.65585929e-07 2.13889119e-07
 1.32936498e-06 4.49960429e-08 9.35785110e-08]",r2
german,900,7,"[3.24480894e-06 1.75857257e-07 8.13877041e-06 7.37032850e-07
 1.61437651e-07 2.76528963e-09 6.43538422e-09]",r2
german,900,8,"[1.37141884e-06 1.47438591e-06 5.06896821e-07 3.37805103e-08
 7.22968619e-09 1.94444490e-09 2.32813537e-09]",r2
german,900,9,"[1.34367586e-06 3.43779614e-06 8.78096205e-07 4.50770830e-08
 4.54883176e-08 5.89579534e-09 1.13675073e-08]",r2
german,900,10,"[1.38641415e-05 6.39860043e-07 6.25603118e-06 4.90676818e-07
 4.53531924e-08 4.98747871e-10 3.09179436e-10]",r2
german,900,11,"[1.24564914e-05 6.76840603e-07 4.06996306e-06 7.74509259e-07
 3.73216071e-08 6.91076738e-10 6.43786795e-10]",r2
german,900,12,"[1.63248797e-05 7.68435157e-07 6.91213224e-06 1.59834666e-06
 2.56272515e-08 1.14407131e-09 2.05430776e-09]",r2
german,900,13,"[2.81191713e-05 8.45719507e-07 6.74876301e-06 1.50560710e-06
 5.70115531e-08 9.86573430e-10 2.75782134e-09]",r2
german,900,14,"[2.37281009e-05 1.05906114e-06 1.87965831e-06 3.56878575e-07
 3.09257331e-08 1.15688957e-09 1.45923163e-09]",r2
german,900,15,"[3.03440130e-05 7.38686334e-07 9.94553386e-06 1.37716545e-06
 6.22152658e-08 1.37095667e-09 4.00221906e-09]",r2
german,900,16,"[2.74398494e-05 4.59074252e-07 8.68113259e-06 1.35946002e-06
 6.97183945e-08 6.62931061e-10 3.60888998e-09]",r2
german,900,17,"[1.48462915e-05 3.82533792e-07 8.77488089e-06 1.62684955e-06
 7.47496711e-08 1.39686257e-09 7.18219571e-09]",r2
german,900,18,"[2.15431372e-05 3.75053275e-07 5.32803907e-06 1.02302277e-06
 1.83168134e-07 7.03611720e-09 1.99179432e-08]",r2
german,900,19,"[1.56938576e-05 2.93496357e-07 3.40871558e-06 4.95495890e-07
 1.43623592e-07 5.84826459e-09 1.43909972e-08]",r2
german,900,20,"[2.68214700e-05 3.84109170e-07 4.37329044e-07 1.93632466e-08
 1.84470554e-07 3.70875128e-09 1.06708942e-08]",r2
inverted,100,1,[0.00029344 0.00049098],r2
inverted,100,2,[3.47559109e-05 1.14274408e-04],r2
inverted,100,3,[1.60725554e-06 1.05292263e-06],r2
inverted,100,4,[8.62152514e-07 5.39620987e-06],r2
inverted,100,5,[2.50184316e-07 1.91614779e-06],r2
inverted,100,6,[4.92786370e-06 1.24479172e-05],r2
