dataset,train_steps,n_simulations,forecast_prediction_steps,model,score,score_type,repetition
inverted,500,1,1,TiDE,0.2184523,mae,7
inverted,500,1,10,TiDE,1.4365023,mae,7
inverted,500,1,1,Oracle,0.04193037,mae,7
inverted,500,1,10,Oracle,0.39900282,mae,7
inverted,500,1,1,TSMixer,0.21685682,mae,8
inverted,500,1,10,TSMixer,1.4312842,mae,8
inverted,500,1,1,VAR,0.041893125,mae,8
inverted,500,1,10,VAR,0.39913785,mae,8
inverted,500,1,1,LSTM,0.043200936,mae,8
inverted,500,1,10,LSTM,0.41179067,mae,8
inverted,500,1,1,TiDE,0.21785383,mae,8
inverted,500,1,10,TiDE,1.4345484,mae,8
inverted,500,1,1,Oracle,0.04193037,mae,8
inverted,500,1,10,Oracle,0.39900282,mae,8
inverted,500,1,1,TSMixer,0.21701187,mae,9
inverted,500,1,10,TSMixer,1.4321289,mae,9
inverted,500,1,1,VAR,0.04194371,mae,9
inverted,500,1,10,VAR,0.39909154,mae,9
inverted,500,1,1,LSTM,0.04247512,mae,9
inverted,500,1,10,LSTM,0.39672798,mae,9
inverted,500,1,1,TiDE,0.2179723,mae,9
inverted,500,1,10,TiDE,1.435911,mae,9
inverted,500,1,1,Oracle,0.04193037,mae,9
inverted,500,1,10,Oracle,0.39900282,mae,9
inverted,1000,1,1,TSMixer,0.21698564,mae,0
inverted,1000,1,10,TSMixer,1.4315708,mae,0
inverted,1000,1,1,VAR,0.041906096,mae,0
inverted,1000,1,10,VAR,0.39886376,mae,0
inverted,1000,1,1,LSTM,0.04243048,mae,0
inverted,1000,1,10,LSTM,0.40343428,mae,0
inverted,1000,1,1,TiDE,0.21759681,mae,0
inverted,1000,1,10,TiDE,1.4335008,mae,0
inverted,1000,1,1,Oracle,0.04193037,mae,0
inverted,1000,1,10,Oracle,0.39900282,mae,0
inverted,1000,1,1,TSMixer,0.2167267,mae,1
inverted,1000,1,10,TSMixer,1.4308991,mae,1
inverted,1000,1,1,VAR,0.042003218,mae,1
inverted,1000,1,10,VAR,0.39950854,mae,1
inverted,1000,1,1,LSTM,0.042510152,mae,1
inverted,1000,1,10,LSTM,0.399354,mae,1
inverted,1000,1,1,TiDE,0.21790773,mae,1
inverted,1000,1,10,TiDE,1.4345151,mae,1
inverted,1000,1,1,Oracle,0.04193037,mae,1
inverted,1000,1,10,Oracle,0.39900282,mae,1
inverted,1000,1,1,TSMixer,0.21658558,mae,2
inverted,1000,1,10,TSMixer,1.4297132,mae,2
